AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,CommunityDistrict,CensusTract2010,NTA,CityCouncilDistrict,CongressionalDistrict,StateSenatorialDistrict,LicenseIssuedDate,LicenseExpiredDate
MOLLIE,F,1/1/2004 0:00,Unknown,Queens,11365,408,1347,QN41,23,6,11,3/2/2015,3/29/2016
RILEY,M,4/1/2012 0:00,Wheaton Terrier,Manhattan,10025,107,189,MN12,7,13,30,6/17/2016,8/6/2017
LEXY,F,8/1/2006 0:00,Yorkshire Terrier,New York,10028,NA,NULL,NULL,NA,NA,NA,1/11/2015,1/6/2016
RUBY,F,2/1/2011 0:00,Unknown,Manhattan,10024,107,175,MN12,6,10,31,7/21/2015,1/23/2016
BE-BOP,M,12/1/2012 0:00,Bernese Mountain Dog,Bronx,10457,205,22901,BX41,15,15,33,3/11/2016,3/20/2017
DAISY,F,3/1/2016 0:00,American Pit Bull Mix / Pit Bull Mix,Bronx,10467,NA,NULL,NULL,NA,NA,NA,11/11/2016,11/11/2017
SASHA,F,1/1/2015 0:00,Siberian Husky,Brooklyn,11234,318,698,BK45,46,8,19,4/10/2015,4/10/2016
DAISY,F,3/1/2013 0:00,American Pit Bull Mix / Pit Bull Mix,Bronx,10461,210,26602,BX10,13,14,34,1/13/2016,1/13/2017
NAME NOT PROVIDED,F,6/1/2012 0:00,Yorkshire Terrier,Brooklyn,11237,304,443,BK77,37,7,18,12/2/2015,7/30/2016
OTIS ,M,6/1/2016 0:00,Jack Russell Terrier,Manhattan,10031,109,22301,MN06,7,13,31,11/15/2016,11/15/2017
OSCAR,M,8/1/2011 0:00,Dachshund Smooth Coat Miniature,Manhattan,10024,107,171,MN12,6,10,31,12/16/2016,1/11/2018
TOADETTE,F,7/1/2011 0:00,Unknown,Manhattan,10024,107,169,MN12,6,10,29,10/4/2016,11/7/2017
ZELDA,F,3/1/2016 0:00,Pug,Manhattan,10128,108,15601,MN32,5,12,29,5/22/2016,5/22/2017
DUNDEE,M,10/1/2009 0:00,Labradoodle,Brooklyn,11209,310,64,BK31,43,11,22,1/8/2016,2/10/2019
SONIA,F,6/1/2011 0:00,Havanese,Queens,11421,409,8,QN53,32,7,15,4/14/2016,5/11/2017
WILBUR,F,8/1/2016 0:00,Cavalier King Charles Spaniel,Manhattan,10028,108,138,MN32,5,12,28,12/2/2016,12/2/2017
TACO,M,4/1/2009 0:00,Italian Greyhound,Brooklyn,11215,306,149,BK37,39,9,21,7/28/2015,5/7/2017
MAX,M,5/1/2008 0:00,Boston Terrier,Manhattan,10024,107,173,MN12,6,10,29,12/16/2016,12/16/2017
DOLCE,M,7/1/2009 0:00,Maltese,Queens,11377,402,25302,QN31,26,14,12,4/23/2016,4/23/2019
HERSHEY,M,1/1/2012 0:00,Yorkshire Terrier,Bronx,10452,204,211,BX26,16,15,29,5/21/2016,5/6/2018
PENELOPE,F,2/1/2005 0:00,"Dachshund, Wirehaired",Manhattan,10065,108,11401,MN40,4,12,28,7/27/2015,9/5/2016
