"RowNumber","AnimalName","AnimalGender","AnimalBirthMonth","BreedName","Borough","ZipCode","CommunityDistrict","CensusTract2010","NTA","CityCouncilDistrict","CongressionalDistrict","StateSenatorialDistrict","LicenseIssuedDate","LicenseExpiredDate"
69455,"BELLE","F","3/1/2015 0:00","Yorkshire Terrier Crossbreed","Brooklyn",11235,313,"370","BK19",48,11,23,"4/30/2016","4/30/2017"
52057,"DIXIE","F","9/1/2012 0:00","Dachshund, Long Haired Miniature","Manhattan",10022,106,"8603","MN19",4,12,28,"2/9/2016","2/25/2017"
13972,"OJO ","M","11/1/2010 0:00","American Pit Bull Terrier/Pit Bull","Queens",11004,413,"155102","QN44",23,3,11,"4/22/2015","4/26/2016"
11102,"MA","F","4/1/2013 0:00","American Pit Bull Terrier/Pit Bull","Manhattan",10023,107,"151","MN14",6,10,31,"3/31/2015","3/31/2016"
120732,"GRACIE","F","12/1/2014 0:00","Poodle Crossbreed","Manhattan",10009,103,"2202","MN28",2,12,26,"12/21/2016","12/21/2021"
72222,"SPINNER","M","5/1/2008 0:00","Miniature Pinscher","Staten Island",10314,501,"18901","SI07",50,11,24,"5/12/2016","6/30/2017"
103502,"HONEY","F","2/1/2009 0:00","Chihuahua Crossbreed","Brooklyn",11207,304,"403","BK78",37,8,18,"9/19/2016","9/2/2017"
45716,"KODI","M","7/1/2009 0:00","German Shepherd Crossbreed","Manhattan",10013,102,"47","MN24",1,10,26,"1/4/2016","11/12/2016"
11133,"BLUE","M","12/1/2011 0:00","American Pit Bull Terrier/Pit Bull","Bronx",10472,209,"62","BX08",18,15,32,"3/31/2015","3/31/2016"
5884,"BELL","F","12/1/2010 0:00","Poodle, Miniature","Manhattan",10034,112,"307","MN01",10,13,31,"2/14/2015","3/13/2017"
47689,"COCO","M","5/1/2006 0:00","Shih Tzu","Queens",11105,401,"115","QN72",22,14,12,"1/15/2016","2/6/2017"
115020,"LANDRY","M","10/1/2015 0:00","Beagle Crossbreed","Queens",11418,409,"26","QN54",32,5,15,"11/16/2016","12/12/2017"
101884,"COCO","F","11/1/2011 0:00","Poodle, Miniature","Manhattan",10022,106,"8603","MN19",4,12,28,"9/14/2016","8/14/2021"
67424,"DARCY","F","12/1/2015 0:00","Labrador Retriever Crossbreed","Manhattan",10016,106,"80","MN20",4,12,28,"4/22/2016","4/22/2017"
